name,language,country,genre
Geleceğe Dönüş (Back to the Future),İngilizce,ABD,"Bilim Kurgu, Komedi"
Evde Tek Başına (Home Alone),İngilizce,ABD,"Komedi, Aile"
Borat,İngilizce,"ABD, İngiltere","Komedi, Mockumentary"
Sahte Nişanlı (The Proposal),İngilizce,ABD,Romantik Komedi
Şeker Portakalı (Meu Pé de Laranja Lima),Portekizce,Brezilya,Komedi-Drama
Hereditary,İngilizce,ABD,"Korku, Gizem"
The Babadook,İngilizce,Avustralya,"Korku, Gerilim"
It Follows,İngilizce,ABD,"Korku, Gizem"
The Witch,İngilizce,"ABD, Kanada","Korku, Gizem"
A Quiet Place,İngilizce,ABD,"Korku, Bilim Kurgu"
Get Out,İngilizce,ABD,"Korku, Gerilim"
The Conjuring,İngilizce,ABD,"Korku, Gerilim"
Train to Busan,Korece,Güney Kore,"Korku, Aksiyon"
REC,İspanyolca,İspanya,"Korku, Gerilim"
The Ring (Halka),Japonca,Japonya,"Korku, Gizem"
Kuzuların Sessizliği (The Silence of the Lambs),İngilizce,ABD,Gizem/Gerilim
Akıl Oyunları (A Beautiful Mind),İngilizce,ABD,Biyografi/Dram/Gizem
Prestij (The Prestige),İngilizce,ABD/Birleşik Krallık,Gizem/Gerilim/Bilim Kurgu
Kayıp Kız (Gone Girl),İngilizce,ABD,Gizem/Gerilim
Yedi (Se7en),İngilizce,ABD,Gizem/Gerilim/Suç
Ölüm Korkusu (Vertigo),İngilizce,ABD,Gizem/Gerilim
Cinayet Mahalli (Zodiac),İngilizce,ABD,Gizem/Suç/Gerilim
Memento,İngilizce,ABD,Gizem/Gerilim
Köstebek (Tinker Tailor Soldier Spy),İngilizce,Birleşik Krallık/Fransa/Almanya,Gizem/Gerilim/Casusluk
Şüphe (The Usual Suspects),İngilizce,ABD,Gizem/Suç/Gerilim
Blade Runner 2049,İngilizce,ABD,"Bilim Kurgu, Gerilim"
Arrival,İngilizce,ABD,"Bilim Kurgu, Dram, Gizem"
Interstellar,İngilizce,"ABD, İngiltere","Bilim Kurgu, Macera, Dram"
Gattaca,İngilizce,ABD,"Bilim Kurgu, Dram, Gerilim"
District 9,"İngilizce, Afrikaanca, IsiXhosa","Güney Afrika, ABD, Yeni Zelanda, Kanada","Bilim Kurgu, Aksiyon, Gerilim"
Children of Men,İngilizce,"ABD, İngiltere","Bilim Kurgu, Dram, Gerilim"
Primer,İngilizce,ABD,"Bilim Kurgu, Dram, Gerilim"
Moon,İngilizce,İngiltere,"Bilim Kurgu, Dram, Gizem"
Eternal Sunshine of the Spotless Mind,İngilizce,ABD,"Bilim Kurgu, Romantik, Dram"
Stalker,Rusça,Sovyetler Birliği,"Bilim Kurgu, Dram, Gizem"
Ah Nerede,Türkçe,Türkiye,Komedi
Tosun Paşa,Türkçe,Türkiye,Komedi
GORA,Türkçe,Türkiye,Komedi
Hababam Sınıfı,Türkçe,Türkiye,Komedi
Düğün Dernek,Türkçe,Türkiye,Komedi
The Hangover,İngilizce,ABD,Komedi
Superbad,İngilizce,ABD,Komedi
21 Jump Street,İngilizce,ABD,Komedi
Bridesmaids,İngilizce,ABD,Komedi
Borat,İngilizce,ABD,Komedi
Kuzuların Sessizliği,İngilizce,ABD,"Gerilim, Suç"
Yedi,İngilizce,ABD,"Gerilim, Suç, Gizem"
Testere,İngilizce,"ABD, Avustralya","Gerilim, Korku, Suç"
Akıl Oyunları,İngilizce,ABD,"Gerilim, Dram, Biyografi"
Gone Girl,İngilizce,ABD,"Gerilim, Gizem, Dram"
Zodiac,İngilizce,ABD,"Gerilim, Suç, Gizem"
İhtiyar Delikanlı,Korece,Güney Kore,"Gerilim, Aksiyon, Gizem"
Memento,İngilizce,ABD,"Gerilim, Gizem"
Köstebek,İngilizce,ABD,"Gerilim, Suç, Dram"
Parazit,Korece,Güney Kore,"Gerilim, Dram, Komedi"
Mad Max: Fury Road,İngilizce,"Avustralya, ABD","Aksiyon, Bilim Kurgu"
John Wick,İngilizce,ABD,"Aksiyon, Gerilim"
The Raid: Redemption,Endonezce,Endonezya,"Aksiyon, Dövüş Sanatları"
Terminator 2: Judgment Day,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
Die Hard,İngilizce,ABD,"Aksiyon, Gerilim"
Mission: Impossible - Fallout,İngilizce,ABD,"Aksiyon, Casusluk"
Kill Bill: Vol. 1,"İngilizce, Japonca",ABD,"Aksiyon, Suç"
Edge of Tomorrow,İngilizce,ABD,"Aksiyon, Bilim Kurgu"
"Crouching Tiger, Hidden Dragon",Mandarin,"Çin, Tayvan, Hong Kong, ABD","Aksiyon, Fantastik"
Gladiator,İngilizce,"ABD, İngiltere","Aksiyon, Dram"
Yüzüklerin Efendisi: Yüzük Kardeşliği,İngilizce,"ABD, Yeni Zelanda","Fantastik, Macera"
Ejderhanı Nasıl Eğitirsin,İngilizce,ABD,"Animasyon, Fantastik, Macera"
Prenses Gelin,İngilizce,ABD,"Fantastik, Komedi, Macera"
Pan'ın Labirenti,İspanyolca,"İspanya, Meksika","Fantastik, Dram, Savaş"
Harry Potter ve Felsefe Taşı,İngilizce,"Birleşik Krallık, ABD","Fantastik, Macera, Aile"
"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?",İngilizce,"Birleşik Krallık, ABD","Fantastik, Macera"
Stardust,İngilizce,"Birleşik Krallık, ABD","Fantastik, Macera, Romantik"
Efsane,İngilizce,"Birleşik Krallık, ABD","Fantastik, Macera"
NeverEnding Story,İngilizce,"Batı Almanya, ABD","Fantastik, Macera, Aile"
Willow,İngilizce,ABD,"Fantastik, Macera"
Free Solo,İngilizce,ABD,"Belgesel, Spor"
Icarus,"İngilizce, Rusça",ABD,"Belgesel, Spor, Gerilim"
Amy,İngilizce,Birleşik Krallık,"Belgesel, Biyografi, Müzik"
Citizenfour,İngilizce,"ABD, Almanya, Birleşik Krallık","Belgesel, Biyografi, Haber"
The Act of Killing,"Endonezyaca, İngilizce","Danimarka, Norveç, Birleşik Krallık","Belgesel, Suç, Tarih"
Man with a Movie Camera,Sessiz,Sovyetler Birliği,"Belgesel, Deneysel"
Searching for Sugar Man,"İngilizce, Afrikaans","İsveç, Birleşik Krallık","Belgesel, Müzik"
Blackfish,İngilizce,ABD,"Belgesel, Drama"
My Octopus Teacher,İngilizce,Güney Afrika,"Belgesel, Doğa"
The Cove,"İngilizce, Japonca",ABD,"Belgesel, Suç, Gerilim"
Kuzuların Sessizliği,İngilizce,ABD,"Gerilim, Suç"
Yedi,İngilizce,ABD,"Gerilim, Suç, Gizem"
Zindan Adası,İngilizce,ABD,"Gerilim, Gizem"
Teslimiyet,İngilizce,ABD,"Gerilim, Psikolojik Gerilim"
Kusursuz Cinayet,İngilizce,ABD,"Gerilim, Suç"
Sapık,İngilizce,ABD,"Gerilim, Korku"
Ölümcül Oyun,İngilizce,ABD,"Gerilim, Gizem"
İhtiyar Delikanlı,Korece,Güney Kore,"Gerilim, Aksiyon, Gizem"
Kayıp Kız,İngilizce,ABD,"Gerilim, Gizem"
Gerilim,İngilizce,ABD,"Gerilim, Psikolojik Gerilim"
Free Solo,İngilizce,ABD,"Belgesel, Spor"
Icarus,"İngilizce, Rusça",ABD,"Belgesel, Spor, Gerilim"
Amy,İngilizce,Birleşik Krallık,"Belgesel, Müzik"
Man with a Movie Camera,Sessiz,Sovyetler Birliği,"Belgesel, Deneysel"
The Act of Killing,"Endonezyaca, İngilizce","Danimarka, Norveç, Birleşik Krallık","Belgesel, Suç, Tarih"
Citizenfour,İngilizce,"Almanya, ABD, Birleşik Krallık","Belgesel, Biyografi, Gerilim"
Searching for Sugar Man,"İngilizce, Afrikaans","İsveç, Birleşik Krallık","Belgesel, Müzik"
Blackfish,İngilizce,ABD,"Belgesel, Dram, Gizem"
Our Planet,İngilizce,"ABD, Birleşik Krallık","Belgesel, Doğa"
Inside Job,İngilizce,ABD,"Belgesel, Suç"
Esaretin Bedeli,İngilizce,ABD,Dram
Baba,İngilizce,ABD,"Suç, Dram"
Kara Şövalye,İngilizce,"ABD, İngiltere","Aksiyon, Suç, Dram"
12 Öfkeli Adam,İngilizce,ABD,Dram
Schindler'in Listesi,"İngilizce, Almanca, İbranice, Lehçe",ABD,"Biyografi, Dram, Tarih"
Yüzüklerin Efendisi: Yüzük Kardeşliği,"İngilizce, Sindarin","Yeni Zelanda, ABD","Aksiyon, Macera, Fantastik"
Forrest Gump,İngilizce,ABD,"Dram, Romantik"
Başlangıç,"İngilizce, Japonca, Fransızca","ABD, İngiltere","Aksiyon, Bilim Kurgu, Gerilim"
Dövüş Kulübü,İngilizce,"ABD, Almanya",Dram
"İyi, Kötü ve Çirkin",İtalyanca,"İtalya, İspanya, Almanya",Western
The Exorcist,İngilizce,ABD,Korku
Hereditary,İngilizce,ABD,"Korku, Gizem"
The Babadook,İngilizce,Avustralya,"Korku, Gerilim"
It Follows,İngilizce,ABD,"Korku, Gizem"
The Witch,İngilizce,"ABD, Kanada, İngiltere, Brezilya","Korku, Tarihi"
A Quiet Place,İngilizce,ABD,"Korku, Bilim Kurgu, Gerilim"
Get Out,İngilizce,ABD,"Korku, Gizem, Gerilim"
REC,İspanyolca,İspanya,"Korku, Gerilim"
Train to Busan,Korece,Güney Kore,"Korku, Aksiyon, Gerilim"
The Ring,Japonca,Japonya,"Korku, Gizem"
Esaretin Bedeli,İngilizce,ABD,Drama
Yeşil Yol,İngilizce,ABD,Drama
Can Dostum,Fransızca,Fransa,Drama
Piyanist,İngilizce,"Fransa, Polonya, Almanya, İngiltere",Drama
Forrest Gump,İngilizce,ABD,Drama
Hayat Güzeldir,İtalyanca,İtalya,Drama
Akıl Oyunları,İngilizce,ABD,Drama
Guguk Kuşu,İngilizce,ABD,Drama
Schindler'in Listesi,İngilizce,ABD,Drama
Umudunu Kaybetme,İngilizce,ABD,Drama
Aşkın (Her) Şeyi,İngilizce,"Birleşik Krallık, ABD","Biyografi, Dram, Romantik"
Aşk Engel Tanımaz,İngilizce,ABD,Romantik Komedi
Aşk ve Gurur,İngilizce,"Birleşik Krallık, Fransa, ABD","Dram, Romantik"
Aşk Mektupları,Türkçe,Türkiye,"Dram, Romantik"
Issız Adam,Türkçe,Türkiye,"Dram, Romantik"
Not Defteri,İngilizce,ABD,"Dram, Romantik"
Titanik,İngilizce,ABD,"Dram, Romantik"
Sil Baştan,İngilizce,ABD,"Dram, Romantik, Bilim Kurgu"
Paris'te Gece Yarısı,"İngilizce, Fransızca","İspanya, ABD","Komedi, Fantastik, Romantik"
500 Gün Yaz,İngilizce,ABD,"Komedi, Dram, Romantik"
Hayat Güzeldir (La Vita è Bella),İtalyanca,İtalya,"Komedi, Dram, Savaş"
Aptal ve Avan (Dumb and Dumber),İngilizce,ABD,Komedi
Monty Python ve Kutsal Kase (Monty Python and the Holy Grail),İngilizce,Birleşik Krallık,"Komedi, Fantastik"
Bekarlığa Veda (The Hangover),İngilizce,ABD,Komedi
Spaceballs,İngilizce,ABD,"Komedi, Bilim Kurgu"
Şaşkın (Office Space),İngilizce,ABD,Komedi
Cennet Sineması (Cinema Paradiso),İtalyanca,İtalya,"Komedi, Dram"
Borat,İngilizce,ABD,Komedi
Zor Baba (Meet the Parents),İngilizce,ABD,Komedi
Tucker & Dale vs Evil,İngilizce,Kanada,"Komedi, Korku"
Kuzuların Sessizliği (The Silence of the Lambs),İngilizce,ABD,"Gizem, Gerilim, Korku"
Yedi (Se7en),İngilizce,ABD,"Gizem, Gerilim, Suç"
Akıl Defteri (Memento),İngilizce,ABD,"Gizem, Gerilim, Suç"
Kayıp Kız (Gone Girl),İngilizce,ABD,"Gizem, Gerilim, Dram"
Zindan Adası (Shutter Island),İngilizce,ABD,"Gizem, Gerilim, Psikolojik Gerilim"
Prestij (The Prestige),İngilizce,"ABD, İngiltere","Gizem, Dram, Bilim Kurgu"
Bıçaklar Çekildi (Knives Out),İngilizce,ABD,"Gizem, Komedi, Suç"
Cinayet Gecesi (Murder Mystery),İngilizce,ABD,"Gizem, Komedi, Suç"
Ölüm Korkusu (Vertigo),İngilizce,ABD,"Gizem, Gerilim, Romantik"
Arka Pencere (Rear Window),İngilizce,ABD,"Gizem, Gerilim"
Kuzuların Sessizliği,İngilizce,ABD,"Gerilim, Gizem"
Yedi (Se7en),İngilizce,ABD,"Suç, Gizem, Gerilim"
Kayıp Kız (Gone Girl),İngilizce,ABD,"Gizem, Gerilim"
Akıl Oyunları (A Beautiful Mind),İngilizce,ABD,"Biyografi, Dram, Gizem"
Prestij (The Prestige),İngilizce,"ABD, İngiltere","Dram, Gizem, Bilim Kurgu"
Zindan Adası (Shutter Island),İngilizce,ABD,"Gizem, Gerilim"
Olağan Şüpheliler (The Usual Suspects),İngilizce,"ABD, Almanya","Suç, Gizem, Gerilim"
Cinayet Gecesi (Knives Out),İngilizce,ABD,"Komedi, Suç, Gizem"
Memento,İngilizce,ABD,"Gizem, Gerilim"
Vertigo,İngilizce,ABD,"Gizem, Gerilim, Romantik"
Blade Runner 2049,İngilizce,"ABD, Kanada, İngiltere","Bilim Kurgu, Gerilim"
Gattaca,İngilizce,ABD,"Bilim Kurgu, Dram"
Yıldız Savaşları: İmparatorun Dönüşü (Star Wars: Episode V - The Empire Strikes Back),İngilizce,ABD,"Bilim Kurgu, Aksiyon, Macera"
Varış (Arrival),İngilizce,ABD,"Bilim Kurgu, Dram, Gizem"
Ay,İngilizce,İngiltere,"Bilim Kurgu, Dram, Gizem"
District 9,"İngilizce, Afrikaanca, Xhosa","Güney Afrika, ABD, Yeni Zelanda, Kanada","Bilim Kurgu, Aksiyon, Gerilim"
Dune: Çöl Gezegeni (Dune),İngilizce,"ABD, Kanada","Bilim Kurgu, Macera, Dram"
Ex Machina,İngilizce,İngiltere,"Bilim Kurgu, Dram, Gerilim"
Otomatik Portakal (A Clockwork Orange),İngilizce,"İngiltere, ABD","Bilim Kurgu, Dram"
Sonsuzluk Projesi (Primer),İngilizce,ABD,"Bilim Kurgu, Gerilim, Dram"
Citizenfour,İngilizce,"ABD, Almanya, İngiltere","Belgesel, Biyografi, Gerilim"
Icarus,"İngilizce, Rusça, Almanca",ABD,"Belgesel, Spor, Gerilim"
Amy,İngilizce,İngiltere,"Belgesel, Biyografi, Müzik"
Free Solo,İngilizce,ABD,"Belgesel, Macera, Spor"
Man with a Movie Camera,Sessiz,Sovyetler Birliği,"Belgesel, Deneysel"
Blackfish,İngilizce,ABD,"Belgesel, Drama"
The Act of Killing,"Endonezce, İngilizce","Danimarka, Norveç, İngiltere","Belgesel, Suç, Tarih"
Jiro Dreams of Sushi,Japonca,ABD,"Belgesel, Yemek"
Searching for Sugar Man,İngilizce,"İsveç, İngiltere","Belgesel, Müzik"
Exit Through the Gift Shop,"İngilizce, Fransızca","İngiltere, ABD","Belgesel, Komedi, Suç"
